get headers list|public java.util.List<com.google.privacy.dlp.v2.FieldId> () { return headers_; }
get kv state lookup info|private CompletableFuture<KvStateLocation> (final JobID jobId, final String queryableStateName, final boolean forceUpdate) { final Tuple2<JobID, String> cacheKey = new Tuple2<>(jobId, queryableStateName); final CompletableFuture<KvStateLocation> cachedFuture = lookupCache.get(cacheKey); if (!forceUpdate && cachedFuture != null && !cachedFuture.isCompletedExceptionally()) { LOG.debug("Retrieving location for state={} of job={} from the cache.", queryableStateName, jobId); return cachedFuture; } final KvStateLocationOracle kvStateLocationOracle = proxy.getKvStateLocationOracle(jobId); if (kvStateLocationOracle != null) { LOG.debug("Retrieving location for state={} of job={} from the key-value state location oracle.", queryableStateName, jobId); final CompletableFuture<KvStateLocation> location = new CompletableFuture<>(); lookupCache.put(cacheKey, location); kvStateLocationOracle.requestKvStateLocation(jobId, queryableStateName).whenComplete((KvStateLocation kvStateLocation, Throwable throwable) -> { if (throwable != null) { if (ExceptionUtils.stripCompletionException(throwable) instanceof FlinkJobNotFoundException) { // if the jobId was wrong, remove the entry from the cache. lookupCache.remove(cacheKey); } location.completeExceptionally(throwable); } else { location.complete(kvStateLocation); } }); return location; } else { return FutureUtils.completedExceptionally(new UnknownLocationException("Could not retrieve location of state=" + queryableStateName + " of job=" + jobId + ". Potential reasons are: i) the state is not ready, or ii) the job does not exist.")); } }
zeromean unit variance|public static JavaRDD<List<Writable>> (Schema schema, JavaRDD<List<Writable>> data) { return zeromeanUnitVariance(schema, data, Collections.<String>emptyList()); }
add component|private int (boolean increaseWriterIndex, int cIndex, ByteBuf buffer) { assert buffer != null; boolean wasAdded = false; try { checkComponentIndex(cIndex); // No need to consolidate - just add a component to the list. Component c = newComponent(buffer, 0); int readableBytes = c.length(); addComp(cIndex, c); wasAdded = true; if (readableBytes > 0 && cIndex < componentCount - 1) { updateComponentOffsets(cIndex); } else if (cIndex > 0) { c.reposition(components[cIndex - 1].endOffset); } if (increaseWriterIndex) { writerIndex += readableBytes; } return cIndex; } finally { if (!wasAdded) { buffer.release(); } } }
numeric to string vec|public static Vec (Vec src) { if (src.isCategorical() || src.isUUID()) throw new H2OIllegalValueException("Cannot convert a non-numeric column" + " using numericToStringVec() ", src); Vec res = new MRTask() { @Override public void map(Chunk chk, NewChunk newChk) { if (chk instanceof C0DChunk) { // all NAs for (int i = 0; i < chk._len; i++) newChk.addNA(); } else { for (int i = 0; i < chk._len; i++) { if (!chk.isNA(i)) newChk.addStr(PrettyPrint.number(chk, chk.atd(i), 4)); else newChk.addNA(); } } } }.doAll(Vec.T_STR, src).outputFrame().anyVec(); assert res != null; return res; }
get strings|public String[] (String name) { String valueString = get(name); return StringUtils.split(valueString, ","); }
handle async if not done|public static <IN, OUT> CompletableFuture<OUT> (CompletableFuture<IN> completableFuture, Executor executor, BiFunction<? super IN, Throwable, ? extends OUT> handler) { return completableFuture.isDone() ? completableFuture.handle(handler) : completableFuture.handleAsync(handler, executor); }
get slider max depth|private JSlider () { if (sliderMaxDepth == null) { sliderMaxDepth = new JSlider(); sliderMaxDepth.setMaximum(19); sliderMaxDepth.setMinimum(0); sliderMaxDepth.setMinorTickSpacing(1); sliderMaxDepth.setPaintTicks(true); sliderMaxDepth.setPaintLabels(true); sliderMaxDepth.setName(""); sliderMaxDepth.setMajorTickSpacing(1); sliderMaxDepth.setSnapToTicks(true); sliderMaxDepth.setPaintTrack(true); } return sliderMaxDepth; }
write span|void (Span span, int sizeOfSpan, Buffer result) { result.writeByte(SPAN.key); // length prefix result.writeVarint(sizeOfSpan); SPAN.writeValue(result, span); }
from json|public static Map<String, ? extends CacheConfig> (File file) throws IOException { return new CacheConfigSupport().fromJSON(file); }
create sort|public TableOperation (List<Expression> orders, TableOperation child) { failIfStreaming(); List<Expression> convertedOrders = orders.stream().map( f -> f.accept(orderWrapper)).collect(Collectors.toList()); return new SortTableOperation(convertedOrders, child); }
key with default|public static <T> Key<T> (String name, T defaultValue) { return new Key<>(name, defaultValue); }
wrap set|public static <T> Set<T> (final T source) { val list = new LinkedHashSet<T>(); if (source != null) { list.add(source); } return list; }
put service user interface metadata|public static void (final RequestContext requestContext, final Serializable mdui) { if (mdui != null) { requestContext.getFlowScope().put(PARAMETER_SERVICE_UI_METADATA, mdui); } }
get node template|@BetaApi public final NodeTemplate (ProjectRegionNodeTemplateName nodeTemplate) { GetNodeTemplateHttpRequest request = GetNodeTemplateHttpRequest.newBuilder().setNodeTemplate(nodeTemplate == null ? null : nodeTemplate.toString()).build(); return getNodeTemplate(request); }
compute offset|protected long (final long t, final DateTimeZone tz) { // start is the beginning of the last period ending within dataInterval long start = dataInterval.getEndMillis() - periodMillis; long startOffset = start % periodMillis - originMillis % periodMillis; if (startOffset < 0) { startOffset += periodMillis; } start -= startOffset; // tOffset is the offset time t within the last period long tOffset = t % periodMillis - originMillis % periodMillis; if (tOffset < 0) { tOffset += periodMillis; } tOffset += start; return tOffset - t - (tz.getOffset(tOffset) - tz.getOffset(t)); }
add configurations|public void (Configuration... configurations) { Assert.notNull(configurations, "Configurations must not be null"); this.configurations.addAll(Arrays.asList(configurations)); }
proxy user kill all spawned hadoop jobs|public static void (final String logFilePath, Props jobProps, File tokenFile, final Logger log) { Properties properties = new Properties(); properties.putAll(jobProps.getFlattened()); try { if (HadoopSecureWrapperUtils.shouldProxy(properties)) { UserGroupInformation proxyUser = HadoopSecureWrapperUtils.setupProxyUser(properties, tokenFile.getAbsolutePath(), log); proxyUser.doAs(new PrivilegedExceptionAction<Void>() { @Override public Void run() throws Exception { HadoopJobUtils.killAllSpawnedHadoopJobs(logFilePath, log); return null; } }); } else { HadoopJobUtils.killAllSpawnedHadoopJobs(logFilePath, log); } } catch (Throwable t) { log.warn("something happened while trying to kill all spawned jobs", t); } }
random ele|public static <T> T (List<T> list) { return randomEle(list, list.size()); }
append|private static ByteBuf (ByteBufAllocator allocator, boolean useDirect, X509Certificate cert, int count, ByteBuf pem) throws CertificateEncodingException { ByteBuf encoded = Unpooled.wrappedBuffer(cert.getEncoded()); try { ByteBuf base64 = SslUtils.toBase64(allocator, encoded); try { if (pem == null) { // We try to approximate the buffer's initial size. The sizes of // certificates can vary a lot so it'll be off a bit depending // on the number of elements in the array (count argument). pem = newBuffer(allocator, useDirect, (BEGIN_CERT.length + base64.readableBytes() + END_CERT.length) * count); } pem.writeBytes(BEGIN_CERT); pem.writeBytes(base64); pem.writeBytes(END_CERT); } finally { base64.release(); } } finally { encoded.release(); } return pem; }
get build trigger upstream projects|public final List<AbstractProject> () { ArrayList<AbstractProject> result = new ArrayList<AbstractProject>(); for (AbstractProject<?, ?> ap : getUpstreamProjects()) { BuildTrigger buildTrigger = ap.getPublishersList().get(BuildTrigger.class); if (buildTrigger != null) if (buildTrigger.getChildJobs(ap).contains(this)) result.add(ap); } return result; }
read module|private boolean (int row, int column, int numRows, int numColumns) { // Adjust the row and column indices based on boundary wrapping if (row < 0) { row += numRows; column += 4 - ((numRows + 4) & 0x07); } if (column < 0) { column += numColumns; row += 4 - ((numColumns + 4) & 0x07); } readMappingMatrix.set(column, row); return mappingBitMatrix.get(column, row); }
read table|public CompletableFuture<List<TableEntry<byte[], byte[]>>> (final String tableName, final List<TableKey<byte[]>> keys, String delegationToken, final long clientRequestId) { final CompletableFuture<List<TableEntry<byte[], byte[]>>> result = new CompletableFuture<>(); final Controller.NodeUri uri = getTableUri(tableName); final WireCommandType type = WireCommandType.READ_TABLE; final long requestId = (clientRequestId == RequestTag.NON_EXISTENT_ID) ? idGenerator.get() : clientRequestId; final FailingReplyProcessor replyProcessor = new FailingReplyProcessor() { @Override public void connectionDropped() { log.warn(requestId, "readTable {} Connection dropped", tableName); result.completeExceptionally(new WireCommandFailedException(type, WireCommandFailedException.Reason.ConnectionDropped)); } @Override public void wrongHost(WireCommands.WrongHost wrongHost) { log.warn(requestId, "readTable {} wrong host", tableName); result.completeExceptionally(new WireCommandFailedException(type, WireCommandFailedException.Reason.UnknownHost)); } @Override public void noSuchSegment(WireCommands.NoSuchSegment noSuchSegment) { log.warn(requestId, "readTable {} NoSuchSegment", tableName); result.completeExceptionally(new WireCommandFailedException(type, WireCommandFailedException.Reason.SegmentDoesNotExist)); } @Override public void tableRead(WireCommands.TableRead tableRead) { log.debug(requestId, "readTable {} successful.", tableName); List<TableEntry<byte[], byte[]>> tableEntries = tableRead.getEntries().getEntries().stream().map( e -> new TableEntryImpl<>(convertFromWireCommand(e.getKey()), getArray(e.getValue().getData()))).collect(Collectors.toList()); result.complete(tableEntries); } @Override public void processingFailure(Exception error) { log.error(requestId, "readTable {} failed", tableName, error); handleError(error, result, type); } @Override public void authTokenCheckFailed(WireCommands.AuthTokenCheckFailed authTokenCheckFailed) { result.completeExceptionally(new WireCommandFailedException(new AuthenticationException(authTokenCheckFailed.toString()), type, WireCommandFailedException.Reason.AuthFailed)); } }; List<ByteBuf> buffersToRelease = new ArrayList<>(); // the version is always NO_VERSION as read returns the latest version of value. List<WireCommands.TableKey> keyList = keys.stream().map( k -> { ByteBuf buffer = wrappedBuffer(k.getKey()); buffersToRelease.add(buffer); return new WireCommands.TableKey(buffer, WireCommands.TableKey.NO_VERSION); }).collect(Collectors.toList()); WireCommands.ReadTable request = new WireCommands.ReadTable(requestId, tableName, delegationToken, keyList); sendRequestAsync(request, replyProcessor, result, ModelHelper.encode(uri)); return result.whenComplete(( r, e) -> release(buffersToRelease)); }
set variable|protected void (String variableName, Object value, ExecutionEntity sourceExecution, boolean fetchAllVariables) { if (fetchAllVariables == true) { // If it's in the cache, it's more recent if (usedVariablesCache.containsKey(variableName)) { updateVariableInstance(usedVariablesCache.get(variableName), value, sourceExecution); } // If the variable exists on this scope, replace it if (hasVariableLocal(variableName)) { setVariableLocal(variableName, value, sourceExecution, true); return; } // Otherwise, go up the hierarchy (we're trying to put it as high as possible) VariableScopeImpl parentVariableScope = getParentVariableScope(); if (parentVariableScope != null) { if (sourceExecution == null) { parentVariableScope.setVariable(variableName, value); } else { parentVariableScope.setVariable(variableName, value, sourceExecution, true); } return; } // we're creating it if (sourceExecution != null) { createVariableLocal(variableName, value, sourceExecution); } else { createVariableLocal(variableName, value); } } else { // Check local cache first if (usedVariablesCache.containsKey(variableName)) { updateVariableInstance(usedVariablesCache.get(variableName), value, sourceExecution); } else if (variableInstances != null && variableInstances.containsKey(variableName)) { updateVariableInstance(variableInstances.get(variableName), value, sourceExecution); } else { // Not in local cache, check if defined on this scope // Create it if it doesn't exist yet VariableInstanceEntity variable = getSpecificVariable(variableName); if (variable != null) { updateVariableInstance(variable, value, sourceExecution); usedVariablesCache.put(variableName, variable); } else { VariableScopeImpl parent = getParentVariableScope(); if (parent != null) { if (sourceExecution == null) { parent.setVariable(variableName, value, fetchAllVariables); } else { parent.setVariable(variableName, value, sourceExecution, fetchAllVariables); } return; } variable = createVariableInstance(variableName, value, sourceExecution); usedVariablesCache.put(variableName, variable); } } } }
get valid directory|public final File () { File file = this.directory; file = (file != null) ? file : getWarFileDocumentRoot(); file = (file != null) ? file : getExplodedWarFileDocumentRoot(); file = (file != null) ? file : getCommonDocumentRoot(); if (file == null && this.logger.isDebugEnabled()) { logNoDocumentRoots(); } else if (this.logger.isDebugEnabled()) { this.logger.debug("Document root: " + file); } return file; }
